letterId,number,year,recipient,requestCount,typeCode,typeName,collapsedPath,complexity,requestShare,serialRequest,firstRequestPosition,lastRequestPosition,postRequestContinuation,persuasionShare,informationShare,displayShare
141_1908_缪荃孙,141,1908,缪荃孙,2,B,论议收束型,INF→PRS→DSP→PRS→INF→REQ→PRS→INF→PRS→INF→PRS→INF→REQ,2.639057329615259,0.13333333333333333,0,0.42857142857142855,1,0,0.3333333333333333,0.4666666666666667,0.06666666666666667
143_1908_缪荃孙,143,1908,缪荃孙,1,A,先叙后请型,INF→PRS→REQ→INF,1.6094379124341003,0.25,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.25,0.5,0
144_1908_缪荃孙,144,1908,缪荃孙,1,A,先叙后请型,INF→PRS→REQ,1.3862943611198906,0.14285714285714285,0,1,1,0,0.14285714285714285,0.7142857142857143,0
145_1909_缪荃孙,145,1909,缪荃孙,3,B,论议收束型,INF→PRS→INF→REQ→INF→REQ→INF→PRS→INF→REQ→INF,2.4849066497880004,0.17647058823529413,0,0.3125,0.9375,0.0625,0.17647058823529413,0.6470588235294118,0
146_1909_缪荃孙,146,1909,缪荃孙,1,C,先请后叙型,INF→DSP→INF→REQ→INF→PRS→DSP→INF→PRS→INF→PRS→INF,2.5649493574615367,0.06666666666666667,0,0.21428571428571427,0.21428571428571427,0.7857142857142857,0.26666666666666666,0.5333333333333333,0.13333333333333333
147_1909_缪荃孙,147,1909,缪荃孙,1,A,先叙后请型,INF→PRS→INF→PRS→REQ→INF→PRS,2.0794415416798357,0.07142857142857142,0,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.35714285714285715,0.5714285714285714,0
148_0_缪荃孙,148,,缪荃孙,3,B,论议收束型,INF→REQ→INF→DSP→INF→PRS→DSP→INF→REQ→DSP→PRS→INF→REQ→INF,2.70805020110221,0.15,0,0.10526315789473684,0.9473684210526315,0.05263157894736842,0.1,0.6,0.15
149_1910_缪荃孙,149,1910,缪荃孙,5,B,论议收束型,INF→REQ→INF→PRS→INF→REQ→INF→REQ→INF→REQ,2.3978952727983707,0.2631578947368421,0.25,0.1111111111111111,1,0,0.05263157894736842,0.6842105263157895,0
150_1910_缪荃孙,150,1910,缪荃孙,2,A,先叙后请型,INF→PRS→INF→REQ→INF→REQ→INF,2.0794415416798357,0.18181818181818182,0,0.4,0.9,0.1,0.09090909090909091,0.7272727272727273,0
151_0_缪荃孙,151,,缪荃孙,3,D,连环请托型,INF→REQ→INF→NEG→INF→REQ→INF→PRS,2.1972245773362196,0.3333333333333333,0.5,0.125,0.75,0.25,0.1111111111111111,0.4444444444444444,0
152_1911_缪荃孙,152,1911,缪荃孙,2,A,先叙后请型,PRS→INF→DSP→PRS→REQ→INF→REQ→INF→PRS→INF,2.3978952727983707,0.09523809523809523,0,0.55,0.65,0.35,0.23809523809523808,0.6190476190476191,0.047619047619047616
153_1911_缪荃孙,153,1911,缪荃孙,1,A,先叙后请型,INF→NEG→INF→REQ→INF→PRS,1.9459101490553132,0.1111111111111111,0,0.75,0.75,0.25,0.1111111111111111,0.6666666666666666,0
154_1911_缪荃孙,154,1911,缪荃孙,1,B,论议收束型,INF→DSP→PRS→INF→PRS→INF→PRS→INF→REQ→INF,2.3978952727983707,0.09090909090909091,0,0.9,0.9,0.1,0.2727272727272727,0.5454545454545454,0.09090909090909091
156_0_缪荃孙,156,,缪荃孙,2,B,论议收束型,INF→DSP→INF→PRS→INF→PRS→INF→PRS→REQ→INF→PRS→INF→PRS→REQ→PRS,2.772588722239781,0.07407407407407407,0,0.5769230769230769,0.9615384615384616,0.038461538461538464,0.2962962962962963,0.5925925925925926,0.037037037037037035
